a 啊
babiao 靶标
babing 把柄
babosa 巴博萨
babude 巴不得
bachang 把场
bachang 靶场
bache 扒车
bacheng 八成
bachi 把持
bachi 霸持
bachibuding 把持不定
bachu 拔除
bachubaijia 罢黜百家
bacuichuqun 拔萃出群
bada 吧嗒
badai 八代
badao 霸道
badaoxiangzhu 拔刀相助
badiao 拔掉
badingchouxie 拔丁抽楔
badiyaoshan 拔地摇山
badiyitian 拔地倚天
badou 巴豆
badou 笆斗
badoucai 八斗才
badouzhicai 八斗之才
baduo 把舵
baergou 叭儿狗
baergou 巴儿狗
bafanghuying 八方呼应
bafanjiaoji 把饭叫饥
bafener 拔份儿
bafeng 把风
bafenshu 八分书
baganzidabuzhao 八竿子打不着
bagao 拔高
bagaowangshang 巴高望上
bage 八哥
bagong 罢工
bagua 八卦
baguajiao 八卦教
baguan 把关
baguan 罢官
baguanling 岜关岭
baguanzi 拔罐子
baguolianjun 八国联军
baguwen 八股文
baha 吧哈
bahai 拔海
bahangshu 八行书
bahe 拔河
bahe 灞河
bahen 疤痕
bahuangzhiwai 八荒之外
bahuoguaner 拔火罐儿
bahuotong 拔火筒
bahuzizi 跋扈自恣
bai 百 拜 摆 白
bai1 唄
bai1 挀
bai3 伯 佰 捭 摆 柏 百
bai3 擺
bai3 栢
bai3 竡
bai3 粨
bai3 絔
bai3 襬
bai4 呗 拜 稗 败
bai4 庍
bai4 拝
bai4 敗
bai4 猈
bai4 粺
bai4 薭
bai4 贁
bai4 鞁
bai4 韛
baiaiai 白皑皑
baiaixing 白矮星
baian 白案
baibai 白白 拜拜
baiban 白版
baiban 白班
baibandiaonan 百般刁难
baibaoxiang 百宝箱
baibaozhi 白报纸
baibazi 拜把子
baibei 败北
baibi 败笔
baibing 败兵
baibiqingying 白璧青蝇
baibiweixia 白璧微瑕
baibiwuxia 白璧无瑕
baibizi 白鼻子
baibu 摆布
baibu 白醭
baibuchuanyang 百步穿杨
baibucilie 白不呲咧
baibushiyi 百不失一
baibuyicun 百不一存
baicai 白菜
baicao 败草
baicha 白茬
baicha 白茶
baichan 拜忏
baichenyi 白衬衣
baichi 白痴
baichidiandeng 白炽电灯
baichigantou 百尺竿头，更进一步
baichu 百出
baichuanguihai 百川归海
baichunlu 白唇鹿
baici 拜辞
baicu 白醋
baida 白搭
baidai 白带
baidaiwenzong 百代文宗
baidang 摆荡
baidang 白党
baidao 摆到
baidaoyuanmen 拜倒辕门
baideruxing 败德辱行
baidi 白地
baidi 白底
baidianfeng 白癜风
baidingsuke 白丁俗客
baidong 摆动
baidu 百度 百毒 摆渡 拜读
baiduandaiju 百端待举
baiduba 百度吧
baidubaike 百度百科
baidubuyan 百读不厌
baiduhao 百度好
baidusouba 百度搜霸
baiduzhidao 百度知道
baie 白垩
baiensishi 拜恩私室
baierbashi 百儿八十
baifabaizhong 百发百中
baifacangyan 白发苍颜
baifahongyan 白发红颜
baifan 白矾
baifang 拜访
baifanqingchu 白饭青刍
baifaqianzhang 白发千丈
baifaqingshan 白发青衫
baifei 白费
baifeidaiju 百废待举
baifeijuxing 百废俱兴
baifeila 白费蜡
baifen 白粉
baifenbi 百分比
baifenbiao 百分表
baifenchi 百分尺
baifendian 百分点
baifener 摆份儿
baifenhao 百分号
baifenlv 百分率
baifenshu 百分数
baifenzhi 百分制
baifenzhibai 百分之百
baifo 拜佛
baifu 拜服
baigan 百感
baiganer 白干儿
baiganjiaoji 百感交集
baigong 白宫
baiguaizi 韛拐子
baiguanyeshi 稗官野史
baiguizhidian 白圭之玷
baigujing 白骨精
baiguo 白果
baiguoer 白果儿
baihao 摆好
baihe 拜贺
baihe 白鹤
baiheifenming 白黑分明
baihongguanri 白虹贯日
baihou 白喉
baihua 摆划
baihua 白化
baihua 白桦
baihua 白花
baihuabing 白化病
baihuahua 白花花
baihuanghuang 白晃晃
baihuaqifang 百花齐放
baihuaqifangbaijiazhengming 百花齐放，百家争鸣
baihuashi 白话诗
baihuawen 白话文
baihuazhiyuan 白华之怨
baihui 拜会
baihui 白灰
baihuiqianba 百卉千葩
baihun 白混
baihuo 百货
baihuo 败火
baihuojiao 拜火教
baihuxing 白虎星
baiji 白芨
baiji 败绩
baijia 败家
baijian 拜见
baijian 摆件
baijiangfenghou 拜将封侯
baijiaxing 百家姓
baijiazhengming 百家争鸣
baijiazi 摆架子
baijiazi 败家子
baijie 拜节
baijin 拜金
baijin 白金
baijing 白净
baijinhangong 白金汉宫
baijitun 白鱀豚
baijiu 白酒
baijuan 白卷
baijubaiquan 百举百全
baijuguoxi 白驹过隙
baijukonggu 白驹空谷
baijunzhijiang 败军之将
baikaishui 白开水
baike 拜客
baike 百科
baikequanshu 百科全书
baikongqianchuang 百孔千疮
baikoumobian 百口莫辩
baikuaner 摆款儿
baikuo 摆阔
baila 白镴
bailamingjing 白蜡明经
bailandi 白兰地
bailei 败类
baileitai 摆擂台
baili 白痢
bailian 白蔹
bailianchenggang 百炼成钢
bailiang 白亮
bailianjiao 白莲教
bailiaoqiandang 百了千当
bailie 摆列
bailin 白磷
bailincanjia 败鳞残甲
bailing 白蛉
bailing 白领
bailingbaili 百伶百俐
bailingmeishou 百龄眉寿
bailingniao 百灵鸟
bailitiaoyi 百里挑一
bailiucanhua 败柳残花
bailongmenzhen 摆龙门阵
bailongyufu 白龙鱼服
bailu 白露
bailu 白鹭
bailu 败露
bailun 摆轮
bailuo 败落
baima 白马
baimangmang 白茫茫
baimao 白茅
baimaofeng 白毛风
baimaohuangyue 白旄黄钺
baimawangzi 白马王子
baimei 白煤
baimeichiyan 白眉赤眼
baimeng 拜盟
baimengmeng 白蒙蒙
baimenmian 摆门面
baimianer 白面儿
baimianshusheng 白面书生
baimiao 白描
baimifan 白米饭
baimingdan 白名单
baimuer 白木耳
bainaben 百衲本
bainayi 百衲衣
baineizhang 白内障
bainen 白嫩
bainian 拜年
bainian 百年
bainianbuyu 百年不遇
bainiandaji 百年大计
bainianjiehui 百念皆灰
bainianshuren 百年树人
bainianzhibing 百年之柄
bainianzhihao 百年之好
bainianzhihou 百年之后
bainiaochaofeng 百鸟朝凤
bainong 摆弄
baipao 白跑
baipiao 白票
baiping 摆平
baipishu 白皮书
baipisong 白皮松
baipuer 摆谱儿
baiqi 白契
baiqi 白旗
baiqian 白铅
baiqiang 白镪
baiqiaoqianqiong 百巧千穷
baiqitun 白鳍豚
baiqu 白区
bairao 白饶
baire 白热
bairehua 白热化
bairen 拜认
bairen 白人
bairen 白刃
bairenzhan 白刃战
bairi 白日
bairijiangui 白日见鬼
bairike 百日咳
bairishengtian 白日升天
bairiweixin 百日维新
bairiyixiu 白日衣绣
bairizhuang 白日撞
bairizuomeng 白日做梦
bairou 白肉
bairun 白润
baisao 拜扫
baise 白色
baisekongbu 白色恐怖
baisensen 白森森
baiseshouru 白色收入
baisewuran 白色污染
baishan 白鳝
baishanheishui 白山黑水
baishe 摆设
baishechongjian 百舍重茧
baisheng 百胜
baishenheshu 百身何赎
baishezhisheng 百舌之声
baishi 拜师
baishi 拜识
baishi 白事
baishi 白食
baishi 百十
baishibumo 百世不磨
baishishi 百世师
baishitong 百事通
baishou 拜寿
baishou 摆手
baishoubeimian 白首北面
baishouqijia 白手起家
baishouqiongjing 白首穷经
baishouxiangzhi 白首相知
baishouzhixin 白首之心
baishu 柏树
baishu 白薯
baishu 白鼠
baishui 白水
baishuo 白说
baisi 百思
baisibujie 百思不解
baisu 白苏
baisu 败诉
baisuiqianqiu 百岁千秋
baitang 拜堂
baitang 白汤
baitang 白糖
baitanzi 摆摊子
baitao 白陶
baiti 白体
baitian 白天
baitian 白田
baitiandi 拜天地
baitiao 白条
baitie 白铁
baiting 白厅
baitong 白铜
baitouruxin 白头如新
baitouweng 白头翁
baitouxiangshou 白头相守
baitouxielao 白头偕老
baitui 败退
baituo 拜托 摆脱
baiwan 百万 拜完
baiwaner 白玩儿
baiwang 拜望
baiwang 败亡
baiwangheilai 白往黑来
baiwanxiongshi 百万雄师
baiwanzi 掰腕子
baiwei 百味
baiwei 败胃
baiwen 白文
baiwenburuyijian 百闻不如一见
baiwu 百物
baiwuhanmen 白屋寒门
baiwujiao 拜物教
baiwujinji 百无禁忌
baiwuliaolai 百无聊赖
baiwuyishi 百无一失
baiwuyishi 百无一是
baiwuyiyong 百无一用
baixi 白皙
baixian 白鹇
baixiang 白相
baixiang 白鲞
baixiang 百响
baixiangren 白相人
baixibao 白细胞
baixie 拜谢
baixie 败谢
baixiuquejin 摆袖却金
baixueaiai 白雪皑皑
baixuebing 白血病
baixueqiu 白血球
baixuezheng 败血症
baiyanerlang 白眼儿狼
baiyangzuo 白羊座
baiyanxiangkan 白眼相看
baiyanzhu 白眼珠
baiyao 白药
baiye 拜谒
baiye 白夜
baiye 白页
baiye 百叶
baiye 败叶
baiyechuang 百叶窗
baiyexiang 百叶箱
baiyexiaotiao 百业萧条
baiyi 白翳
baiyi 白蚁
baiyi 白衣
baiyibaishun 百依百顺
baiyicanggou 白衣苍狗
baiyigongqing 白衣公卿
baiyin 白银
baiyiqingxiang 白衣卿相
baiyitianshi 白衣天使
baiyixiushi 白衣秀士
baiyizhanshi 白衣战士
baiyou 柏油
baiyun 白云
baiyuncanggou 白云苍狗
baiyunqinshe 白云亲舍
baiyuruzhou 白鱼入舟
baizai 摆在
baizhanbaisheng 百战百胜
baizhanbudai 百战不殆
baizhang 败仗
baizhanji 白斩鸡
baizhebuhui 百折不回
baizhebunao 百折不挠
baizhen 败阵
baizheng 摆正
baizhi 摆治
baizhi 白纸 柏芝
baizhi 白芷
baizhiheizi 白纸黑字
baizhong 摆钟
baizhong 白种
baizhou 摆轴
baizhou 白昼
baizhu 白术
baizhuo 摆桌
baizi 摆子
baizi 白字
baizi 稗子
baizi 败子
baizu 白族
baizuchuichuiqiang 白族吹吹腔
baizuier 白嘴儿
baizuzhichong 百足之虫，死而不僵
baji 吧唧
baji 坝基
bajia 把家
bajian 拔尖
bajiao 拔脚
bajiao 罢教
bajiao 芭蕉
bajiaoer 把角儿
bajiaofeng 八角枫
bajiaoloushang 八角楼上
bajiaoshan 芭蕉扇
bajie 巴结
bajie 拔节
bajiejiumo 八街九陌
bajinzhi 八进制
bajisitan 巴基斯坦
bajiu 把酒
bajiubulishi 八九不离十
bajiudian 八九点
bakao 罢考
bake 罢课
bakouer 把口儿
bakuidanzao 拔葵啖枣
bakuiquzhi 拔葵去织
bala 扒拉
bala 疤拉
bala 疤瘌
balaifuwang 拔来报往
balan 把揽
balao 把牢
balayaner 疤瘌眼儿
bale 罢了
baleiwu 芭蕾舞
baleluobodipikuan 拔了萝卜地皮宽
bali 峇厘
bali 巴黎
bali 笆篱
baliangbaliang 拔凉拔凉
baliao 罢了
baligongshe 巴黎公社
balingzuiwei 霸陵醉尉
balisha 巴里纱
balizi 笆篱子
balou 笆篓
balu 八路
balujun 八路军
balun 罢论
bama 爸妈
bamai 把脉
bamao 拔锚
bamaolianru 拔毛连茹
bamen 把门
bamian 罢免
bamianjianguang 八面见光
